Variable,PFT,CLM Default (W/m2),Default 0.8 (W/m2),Default 0.9 (W/m2),Default 1.1 (W/m2),Default 1.2 (W/m2),GEDI Mean (W/m2),GEDI Max (W/m2),GEDI Median (W/m2)
FCEV,NET Temperate,0.8207,0.7988,0.8099,0.8311,0.8412,0.8204,0.8439,0.8226
FCEV,NET Boreal,0.5522,0.5343,0.5433,0.5609,0.5696,0.5465,0.5807,0.5496
FCEV,NDT Boreal,0.1913,0.1885,0.1899,0.1927,0.1941,0.1873,0.1924,0.1879
FCEV,BET Tropical,7.9975,7.7477,7.8727,8.1219,8.2461,7.8423,8.1807,7.8693
FCEV,BET Temperate,0.7982,0.7727,0.7856,0.8103,0.8223,0.7648,0.8080,0.7684
FCEV,BDT Tropical,0.4707,0.4642,0.4675,0.4737,0.4767,0.4653,0.4860,0.4685
FCEV,BDT Temperate,0.3851,0.3752,0.3802,0.3899,0.3946,0.3776,0.3922,0.3792
FCEV,BDT Boreal,0.1073,0.1048,0.1060,0.1085,0.1097,0.1048,0.1095,0.1053
FCTR,NET Temperate,2.0122,2.0403,2.0260,1.9988,1.9858,2.0147,1.9836,2.0118
FCTR,NET Boreal,2.4006,2.4182,2.4094,2.3919,2.3831,2.3990,2.3654,2.3954
FCTR,NDT Boreal,1.0745,1.0793,1.0768,1.0721,1.0695,1.0789,1.0721,1.0782
FCTR,BET Tropical,19.9614,20.9160,20.4569,19.4418,18.9093,20.6720,19.4195,20.5769
FCTR,BET Temperate,2.7613,2.8629,2.8130,2.7082,2.6544,2.9131,2.7698,2.9022
FCTR,BDT Tropical,2.0144,2.0121,2.0141,2.0130,2.0099,1.9932,1.9766,1.9947
FCTR,BDT Temperate,1.9004,1.9505,1.9268,1.8718,1.8415,1.9445,1.8659,1.9380
FCTR,BDT Boreal,0.4840,0.5038,0.4942,0.4734,0.4627,0.5040,0.4733,0.5007
FGEV,NET Temperate,0.9295,0.9209,0.9251,0.9338,0.9381,0.9276,0.9395,0.9287
FGEV,NET Boreal,1.2100,1.2007,1.2051,1.2158,1.2205,1.2016,1.2264,1.2053
FGEV,NDT Boreal,0.4603,0.4570,0.4586,0.4621,0.4636,0.4513,0.4612,0.4528
FGEV,BET Tropical,3.0414,2.9476,2.9940,3.0894,3.1374,2.9595,3.1064,2.9717
FGEV,BET Temperate,0.6023,0.5932,0.5977,0.6070,0.6118,0.5834,0.6056,0.5854
FGEV,BDT Tropical,0.5463,0.5434,0.5446,0.5483,0.5506,0.5386,0.5544,0.5405
FGEV,BDT Temperate,0.5853,0.5787,0.5820,0.5888,0.5921,0.5774,0.5899,0.5787
FGEV,BDT Boreal,0.2262,0.2239,0.2250,0.2274,0.2286,0.2203,0.2266,0.2211
ET,NET Temperate,3.7624,3.7601,3.7611,3.7637,3.7651,3.7628,3.7670,3.7631
ET,NET Boreal,4.1629,4.1532,4.1578,4.1686,4.1732,4.1471,4.1725,4.1503
ET,NDT Boreal,1.7262,1.7247,1.7253,1.7269,1.7272,1.7176,1.7257,1.7190
ET,BET Tropical,31.0003,31.6113,31.3237,30.6531,30.2928,31.4738,30.7066,31.4179
ET,BET Temperate,4.1618,4.2288,4.1963,4.1256,4.0885,4.2613,4.1834,4.2560
ET,BDT Tropical,3.0314,3.0197,3.0263,3.0351,3.0372,2.9971,3.0170,3.0037
ET,BDT Temperate,2.8708,2.9044,2.8891,2.8504,2.8282,2.8995,2.8480,2.8959
ET,BDT Boreal,0.8175,0.8324,0.8253,0.8093,0.8010,0.8291,0.8095,0.8271
